#,BLK,OWN,Var,AC, 2025 FW ,Column1,Column2,HW,Column3,Column4,Column5,tgm,,Column6,packer,ins,2024 FW
1,1,CSB,np,80," 631,700 ",28%,17.3%," 109,388 "," 1,367 ",-3%,-0.67%," 108,652 "," 222,835 "," 1,358 ", bd ," 327,190 "," 493,400 "
2,1,CSB,m,40," 297,900 ",9%,23.8%," 70,820 ",,,-1.09%," 70,049 "," 1,393 "," 1,751 ", bd ,," 272,580 "
3,1,CSB,f,40," 294,480 ",8%,15.4%," 45,220 ",,,-2.40%," 44,134 ",," 1,103 ", bd ,," 271,965 "
9,5,CSB,np,40," 232,160 ",-21%,16.7%," 38,860 ", 972 ,-44%,-1.19%," 38,399 "," 78,128 ", 960 , bd ," 128,775 "," 292,780 "
25,11,CSB,np,80," 469,720 ",-24%,12.3%," 57,561 ",,,-2.79%," 55,954 "," 149,795 ", 699 , bd ," 334,357 "," 620,945 "
26,11,CSB,ald,40," 248,020 ",-27%,21.3%," 52,787 ",,,-3.84%," 50,758 ", 936 ," 1,269 ",,," 340,000 "
27,11,CSB,m,40," 235,540 ",-27%,18.7%," 44,140 ",,,-2.39%," 43,083 ",," 1,077 ",,," 321,200 "
14,6,FLP,np,80," 542,380 ",-22%,15.7%," 85,172 "," 1,065 ",-54%,-2.96%," 82,649 "," 270,989 "," 1,033 ", sva ," 349,263 "," 698,220 "
33,13,KGB,np,40," 329,480 ",-10%,17.0%," 56,102 "," 1,403 ",-35%,-0.88%," 55,611 "," 141,680 "," 1,390 ", sva/p ," 169,250 "," 367,200 "
,52,csb,i,160," 1,344,040 ",29%,27.7%," 372,060 "," 2,325 ",33%,-0.58%," 369,901 ",," 2,312 ", sva/bd ,," 1,043,880 "
,53,csb,i,160," 1,207,260 ",15%,28.5%," 344,469 ",,,-1.21%," 340,314 ",," 2,127 ", sva/vfo ,," 1,046,280 "
